
2018-01-09 09:29:15 [ Thread-16:1 ] - [ INFO ] 16个无花果
2018-01-09 09:29:15 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 09:29:15 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 09:29:15 [ Thread-15:1 ] - [ INFO ] 15个无花果
2018-01-09 09:29:15 [ 高:1 ] - [ INFO ] 29个无花果
2018-01-09 09:29:15 [ 高:1 ] - [ INFO ] 28个无花果
2018-01-09 09:29:15 [ 高:0 ] - [ INFO ] 27个无花果
2018-01-09 09:29:15 [ 低:2 ] - [ INFO ] 9个无花果
2018-01-09 09:29:15 [ 低:2 ] - [ INFO ] 8个无花果
2018-01-09 09:29:15 [ 低:2 ] - [ INFO ] 7个无花果
2018-01-09 09:29:15 [ 低:1 ] - [ INFO ] 4个无花果
2018-01-09 09:29:15 [ 低:1 ] - [ INFO ] 5个无花果
2018-01-09 09:29:15 [ 低:1 ] - [ INFO ] 1个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 22个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 1个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 4个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 2个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 3个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 5个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 6个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 9个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 7个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 0个无花果
2018-01-09 10:14:47 [ Thread-19:0 ] - [ INFO ] 19个无花果
2018-01-09 10:14:47 [ Thread-20:0 ] - [ INFO ] 20个无花果
2018-01-09 10:14:47 [ Thread-18:0 ] - [ INFO ] 18个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 29个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 28个无花果
2018-01-09 10:14:47 [ Thread-17:0 ] - [ INFO ] 17个无花果
2018-01-09 10:14:47 [ Thread-10:0 ] - [ INFO ] 10个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 27个无花果
2018-01-09 10:14:47 [ Thread-16:0 ] - [ INFO ] 16个无花果
2018-01-09 10:14:47 [ Thread-11:0 ] - [ INFO ] 11个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 25个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 26个无花果
2018-01-09 10:14:47 [ Thread-12:0 ] - [ INFO ] 12个无花果
2018-01-09 10:14:47 [ Thread-13:0 ] - [ INFO ] 13个无花果
2018-01-09 10:14:47 [ Thread-14:0 ] - [ INFO ] 14个无花果
2018-01-09 10:14:47 [ Thread-15:0 ] - [ INFO ] 15个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 24个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 23个无花果
2018-01-09 10:14:47 [ 高:0 ] - [ INFO ] 21个无花果
2018-01-09 10:14:47 [ 低:0 ] - [ INFO ] 8个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 0个无花果
2018-01-09 10:14:55 [ 低:1 ] - [ INFO ] 8个无花果
2018-01-09 10:14:55 [ 低:1 ] - [ INFO ] 3个无花果
2018-01-09 10:14:55 [ 低:1 ] - [ INFO ] 6个无花果
2018-01-09 10:14:55 [ Thread-10:1 ] - [ INFO ] 10个无花果
2018-01-09 10:14:55 [ Thread-11:1 ] - [ INFO ] 11个无花果
2018-01-09 10:14:55 [ Thread-12:1 ] - [ INFO ] 12个无花果
2018-01-09 10:14:55 [ Thread-13:1 ] - [ INFO ] 13个无花果
2018-01-09 10:14:55 [ Thread-15:1 ] - [ INFO ] 15个无花果
2018-01-09 10:14:55 [ Thread-14:1 ] - [ INFO ] 14个无花果
2018-01-09 10:14:55 [ 高:1 ] - [ INFO ] 21个无花果
2018-01-09 10:14:55 [ 高:1 ] - [ INFO ] 22个无花果
2018-01-09 10:14:55 [ Thread-16:1 ] - [ INFO ] 16个无花果
2018-01-09 10:14:55 [ 高:1 ] - [ INFO ] 23个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 4个无花果
2018-01-09 10:14:55 [ Thread-18:1 ] - [ INFO ] 18个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 5个无花果
2018-01-09 10:14:55 [ Thread-19:0 ] - [ INFO ] 19个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 24个无花果
2018-01-09 10:14:55 [ Thread-17:0 ] - [ INFO ] 17个无花果
2018-01-09 10:14:55 [ Thread-20:0 ] - [ INFO ] 20个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 25个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 1个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 26个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 27个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 29个无花果
2018-01-09 10:14:55 [ 高:0 ] - [ INFO ] 28个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 2个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 7个无花果
2018-01-09 10:14:55 [ 低:0 ] - [ INFO ] 9个无花果
2018-01-09 10:15:01 [ Thread-10:0 ] - [ INFO ] 10个无花果
2018-01-09 10:15:01 [ 高:1 ] - [ INFO ] 23个无花果
